"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"ST_REELEICAO"
250000658707;"REGINA DO NASCIMENTO";"#NULO";"PATRIOTA";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";NA;"SUPLENTE";539;17000;"Recursos de partido político";"N"
250000658746;"SERGIO ROBERTO PEREIRA";"#NULO";"PATRIOTA";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";162500;"SUPLENTE";544;10380;"Recursos de pessoas físicas, Recursos próprios";"N"
250000885547;"GLAUCIA APARECIDA DA SILVA ESQUIERDO";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"AGRÔNOMO";"APTO";72342;"SUPLENTE";568;23212,84;"Recursos de partido político";"N"
250000885534;"RONAN ALOISIO GOULART";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"PEDAGOGO";"APTO";103000;"SUPLENTE";208;9812,99;"Recursos de partido político";"N"
250000885527;"JEFERSON DA SILVA MATTOS";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"ADVOGADO";"APTO";NA;"SUPLENTE";322;9812,99;"Recursos de partido político";"N"
250000885522;"KARIUM DE ALMEIDA BRIZOLLA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";5000;"SUPLENTE";65;9814,79;"Recursos de partido político";"N"
250000885555;"JORGE MELLO DA SILVA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";70000;"SUPLENTE";212;9812,99;"Recursos de partido político";"N"
250000885519;"BRIGIDA CAIRES DINARD";"#NULO";"SOLIDARIEDADE";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"DONA DE CASA";"APTO";4300;"SUPLENTE";109;13212,84;"Recursos de partido político";"N"
250000885538;"UMBELINO ALMEIDA SOARES";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"APTO";NA;"SUPLENTE";341;9492,47;"Recursos de partido político";"N"
250000885541;"ANDREIA APARECIDA GOMES DE SOUSA FERNANDES";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR INCOMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"ADMINISTRADOR";"APTO";357000;"SUPLENTE";110;11212,93;"Recursos de partido político";"N"
250000885552;"MARCELINO DE SOUZA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SEPARADO(A) JUDICIALMENTE";"PARDA";"GERENTE";"APTO";10832;"SUPLENTE";346;9812,99;"Recursos de partido político";"N"
250000755998;"SHIRLEY SILVERIO RAPOSO";"#NULO";"PSTU";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PRETA";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"APTO";2500;"NÃO ELEITO";175;22780,13;"Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos";"N"
250000687489;"ADEMIR DO VALE CONCEIÇÃO";"#NULO";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"EMPRESÁRIO";"APTO";NA;"NÃO ELEITO";475;6437,38;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687509;"CARMEM MIRANDA ALVES PEREIRA";"#NULO";"PC do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";NA;"NÃO ELEITO";12;1041,38;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687534;"OTACILIO RIBEIRO FILHO";"#NULO";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";892;12436,54;"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos";"N"
250000687537;"ITAMAR SANTOS SESSENTA";"#NULO";"PC do B";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PRETA";"EMPRESÁRIO";"APTO";95000;"NÃO ELEITO";667;6830;"Recursos de partido político";"N"
250000687497;"CARLA REGINA FERREIRA DOS SANTOS";"#NULO";"PC do B";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";813;19690,17;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687533;"LUIS ARAÚJO FRANÇA";"#NULO";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";804;22546,23;"Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos";"N"
250000687553;"JORGE HENRIQUE ESTEVES";"#NULO";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";257900;"NÃO ELEITO";155;2041,38;"Recursos de partido político, Recursos de outros candidatos";"N"
