"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"BENS_TOTAL"
250001933076;"WALTER PAIVA CIGLIONI";"#NULO";"PODE";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"JORNALISTA E REDATOR";"#NE";"N";"DEFERIDO";"SUPLENTE";238;50000;"FUNDO ESPECIAL";30000
250001933067;"MARIA PAULA RUAS SOARES";"#NULO";"PODE";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";448;1e+05;"FUNDO ESPECIAL";NA
250001933085;"ANA PAULA NEVES DE ALMEIDA FERNANDES";"#NULO";"PODE";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";524;138461,5;"OUTROS RECURSOS, FUNDO ESPECIAL";240000
250001933086;"VALDIRENE SANTOS DA SILVA";"#NULO";"PODE";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";496;130000;"OUTROS RECURSOS, FUNDO ESPECIAL";43309
250002170095;"RENATO BENEDUCI ASSAD";"#NULO";"PSTU";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";166;5020;"OUTROS RECURSOS";184657
250002170092;"GRAZIELI RODRIGUES EZEQUIEL";"#NULO";"PSTU";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"ADMINISTRADOR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1305;22402,49;"OUTROS RECURSOS";34833,01
250002146905;"AILTON BATISTA VIRGULINO TEIXEIRA";"#NULO";"AVANTE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SEPARADO(A) JUDICIALMENTE";"PRETA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";"NÃO ELEITO";103;7500;"FUNDO ESPECIAL";600
250002146916;"HAIDÉE ALVES DE AQUINO BAPTISTA";"#NULO";"AVANTE";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PEDAGOGO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";555;11500;"FUNDO ESPECIAL, OUTROS RECURSOS";310000
250002146893;"OCIMAR DE ARAÚJO MONTEIRO";"#NULO";"AVANTE";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"COMERCIANTE";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2198;0;"#NULO";NA
250002146896;"FABIO ARCO E FLEXA VEIGA";"#NULO";"AVANTE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";133;0;"#NULO";NA
250002146910;"CESAR ROBERTO MACEDO FERREIRA";"#NULO";"AVANTE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1179;114642,77;"OUTROS RECURSOS, FUNDO ESPECIAL";278676,9
250002146886;"FERNANDA VOLNEIA PAIN DE MORAES";"#NULO";"AVANTE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL";"#NE";"N";"DEFERIDO";"NÃO ELEITO";743;25300;"OUTROS RECURSOS, FUNDO ESPECIAL";1104372
250002146927;"VIVIAN GONÇALVES SANTOS MANTOAN";"#NULO";"AVANTE";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"GERENTE";"#NE";"N";"DEFERIDO";"NÃO ELEITO";104;10000;"FUNDO ESPECIAL";64200
250002146913;"ROSIMAR DA SILVA";"#NULO";"AVANTE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";67;5000;"FUNDO ESPECIAL";347900
250002146926;"CARLOS ROBERTO DA SILVA";"#NULO";"AVANTE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PRETA";"TERAPEUTA";"#NE";"N";"DEFERIDO";"NÃO ELEITO";161;8500;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002146890;"MARIA MARTA DE LIMA BARROS";"#NULO";"AVANTE";"FEMININO";"ENSINO MÉDIO COMPLETO";"VIÚVO(A)";"BRANCA";"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES";"#NE";"S";"DEFERIDO";"NÃO ELEITO";205;0;"#NULO";NA
250002146882;"MARINALVA FERREIRA DA SILVA";"#NULO";"AVANTE";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"VIGILANTE";"#NE";"S";"DEFERIDO";"NÃO ELEITO";148;0;"#NULO";NA
