"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA"
250000006185;"FENELON GONÇALVES DA COSTA";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";238;5436,45;"Recursos de pessoas físicas, Recursos de partido político"
250000010864;"CARLOS ALBERTO DE JESUS ANTUNES RAMOS";"#NULO#";"PHS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";1770000;"SUPLENTE";865;NA;NA
250000006179;"DENIS VEIGA JUNIOR";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"ADVOGADO";"APTO";"N";48557,68;"NÃO ELEITO";1053;4843,67;"Recursos de partido político, Recursos de pessoas físicas"
250000038379;"WALTER DOMARASCKI";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"TAXISTA";"APTO";"N";245286,18;"NÃO ELEITO";250;10878,8;"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos"
250000027279;"LUIZ CARLOS MODUGNO";"#NULO#";"PRP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"APTO";"N";NA;"NÃO ELEITO";1623;NA;NA
250000008331;"SONIA MARIA ALVES PEREIRA LIMA";"#NULO#";"PRB";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";1047280,13;"SUPLENTE";80;8587,5;"Recursos próprios, Recursos de partido político"
250000058407;"SHINSHO TAKARA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"AMARELA";"ENGENHEIRO";"APTO";"N";69801,22;"SUPLENTE";605;3013,3;"Recursos próprios, Recursos de outros candidatos"
250000027310;"EDSON TEIXEIRA";"#NULO#";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";"N";48000;"NÃO ELEITO";216;NA;NA
250000027341;"ROSA GOMES DA FONSECA RIBEIRO";"#NULO#";"PT do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"DONA DE CASA";"APTO";"N";NA;"NÃO ELEITO";66;NA;NA
250000006166;"FERNANDO ANTONIO ALVES DE SOUZA";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PRETA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";93065,96;"NÃO ELEITO";665;6331,45;"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000077186;"NATALIA BRAGA COSTA PIMENTA";"#NULO#";"PCO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"TRADUTOR, INTÉRPRETE E FILÓLOGO";"APTO";"N";NA;"NÃO ELEITO";77;NA;NA
250000040612;"OSVALDO NUNES PEREIRA";"#NULO#";"SD";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";"N";290000;"NÃO ELEITO";346;280;"Recursos próprios"
250000008333;"VALDINEIA MEIRA MOTA";"#NULO#";"PRB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO FUNDAMENTAL";"APTO";"N";17000;"SUPLENTE";3271;18744,47;"Recursos próprios, Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas"
250000008330;"RICARDO ELIAS IRALLA";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"OUTROS";"APTO";"N";90000;"SUPLENTE";949;5195,01;"Recursos de partido político"
250000050158;"EDINORA MARIA DO NASCIMENTO JESUS";"#NULO#";"PSL";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"ENFERMEIRO";"APTO";"N";294000;"NÃO ELEITO";1354;NA;NA
250000058376;"ITAMAR VENANCIO DAS NEVES";"#NULO#";"PTN";"FEMININO";"SUPERIOR INCOMPLETO";"DIVORCIADO(A)";"INDÍGENA";"AGENTE DE SAÚDE E SANITARISTA";"APTO";"N";NA;"SUPLENTE";321;NA;NA
250000058406;"ROSIMERY SANTANA ROSA";"#NULO#";"PTN";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";293;NA;NA
250000027336;"GILVAN RIBEIRO XAVIER";"#NULO#";"PT do B";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS";"APTO";"N";NA;"NÃO ELEITO";163;NA;NA
250000019172;"HÉLIO TERUO TAKATA";"#NULO#";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"AMARELA";"EMPRESÁRIO";"APTO";"N";1568276,62;"SUPLENTE";2358;5000;"Recursos próprios"
250000038367;"RAFAEL ANGELO ABUD";"#NULO#";"PSDC";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";"N";42000;"NÃO ELEITO";181;2366,98;"Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas"
250000015102;"RENATA VIEIRA SILVA E SOUSA";"#NULO#";"REDE";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";480837,05;"NÃO ELEITO";315;200;"Recursos próprios"
250000015105;"MARCIO FERREIRA DE ARAUJO JUNIOR";"#NULO#";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"CIENTISTA POLÍTICO";"APTO";"N";NA;"NÃO ELEITO";2140;18299,98;"Recursos de pessoas físicas"
250000038326;"EDUARDO TSUNEO SAITO";"#NULO#";"PSDC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"AMARELA";"POLICIAL CIVIL";"APTO";"N";369801,18;"NÃO ELEITO";562;5261,12;"Recursos próprios, Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas"
250000038415;"ANDERSON DOS SANTOS";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"COMERCIANTE";"APTO";"N";130000;"NÃO ELEITO";397;NA;NA
250000005009;"LEANDRO BRAGA SOUZA";"#NULO#";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"APTO";"N";15000;"SUPLENTE";3089;23821,56;"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político"
250000040562;"ADEMIR ALONSO";"#NULO#";"SD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";50000;"NÃO ELEITO";545;4980,5;"Recursos próprios, Recursos de partido político"
